,final_result,score,sum_click,Engagement
0,Pass,62,2791,1
1,Withdrawn,87,656,0
2,Pass,82,934,0
3,Fail,83,161,0
4,Pass,74,910,0
5,Distinction,94,590,1
6,Pass,63,184,0
7,Withdrawn,76,1992,0
8,Distinction,89,712,0
9,Pass,47,499,0
10,Pass,77,2562,1
11,Pass,84,2103,1
12,Withdrawn,78,997,0
13,Withdrawn,55,113,0
14,Withdrawn,87,13,0
15,Pass,88,786,0
16,Distinction,86,2223,0
17,Pass,89,15205,1
18,Fail,88,478,0
19,Pass,51,2451,1
20,Fail,74,210,0
21,Distinction,93,1847,1
22,Fail,52,2638,0
23,Withdrawn,51,510,0
24,Pass,82,2129,1
25,Fail,76,366,0
26,Pass,60,553,0
27,Withdrawn,69,348,0
28,Fail,75,813,0
29,Fail,49,661,0
30,Pass,78,1590,0
31,Pass,66,1435,0
32,Fail,32,328,0
33,Pass,54,645,0
34,Fail,70,232,0
35,Distinction,71,3367,0
36,Withdrawn,60,105,0
37,Fail,73,1914,0
38,Distinction,92,8840,1
39,Withdrawn,59,1170,0
40,Pass,75,816,0
41,Pass,84,10503,1
42,Distinction,89,2867,0
43,Fail,78,1608,0
44,Pass,81,2502,1
45,Pass,72,760,0
46,Pass,88,1332,0
47,Distinction,94,714,1
48,Fail,87,1548,0
49,Fail,35,137,0
50,Distinction,99,2258,1
51,Withdrawn,90,531,0
52,Pass,89,3873,1
53,Distinction,97,2932,1
54,Fail,50,858,0
55,Fail,91,381,1
56,Withdrawn,56,859,0
57,Fail,66,1280,0
58,Pass,55,429,0
59,Pass,76,2158,1
60,Pass,79,5906,1
61,Pass,78,1179,0
62,Fail,90,1133,0
63,Pass,81,620,0
64,Withdrawn,31,699,0
65,Pass,54,1034,0
66,Pass,45,438,0
67,Withdrawn,59,248,0
68,Withdrawn,84,481,0
69,Withdrawn,59,1208,0
70,Withdrawn,76,464,0
71,Pass,64,351,0
72,Withdrawn,55,322,0
73,Distinction,92,4121,1
74,Pass,81,544,0
75,Withdrawn,73,613,0
76,Withdrawn,84,425,0
77,Pass,88,706,0
78,Withdrawn,74,921,0
79,Fail,91,391,1
80,Withdrawn,80,192,0
81,Fail,49,213,0
82,Withdrawn,35,218,0
83,Withdrawn,76,681,0
84,Withdrawn,67,129,0
85,Pass,74,198,0
86,Fail,75,77,0
87,Pass,80,1812,1
88,Withdrawn,75,3358,0
89,Withdrawn,66,545,0
90,Pass,87,3412,1
91,Pass,88,2107,1
92,Withdrawn,54,653,0
93,Fail,82,602,0
94,Fail,71,19,0
95,Pass,83,2215,1
96,Pass,67,2161,1
97,Withdrawn,71,1355,0
98,Pass,84,2097,1
99,Pass,82,470,0
100,Distinction,98,885,1
101,Pass,68,2445,1
102,Fail,78,94,0
103,Withdrawn,39,169,0
104,Pass,77,2067,1
105,Fail,70,164,0
106,Withdrawn,84,93,0
107,Distinction,83,432,0
108,Fail,65,630,0
109,Withdrawn,78,1761,0
110,Distinction,94,1876,1
111,Withdrawn,72,704,0
112,Pass,71,584,0
113,Pass,68,465,0
114,Withdrawn,86,304,0
115,Distinction,91,2455,1
116,Fail,83,411,0
117,Pass,80,965,0
118,Pass,62,1007,0
119,Pass,71,5079,1
120,Pass,80,4093,1
121,Pass,72,11845,1
122,Pass,79,2839,1
123,Distinction,95,10673,1
124,Fail,39,200,0
125,Pass,76,1862,1
126,Withdrawn,71,847,0
127,Pass,87,5693,1
128,Pass,93,2334,1
129,Withdrawn,84,3318,0
130,Fail,63,4383,0
131,Pass,68,1492,0
132,Pass,72,1428,0
133,Withdrawn,52,1445,0
134,Withdrawn,65,389,0
135,Pass,85,3724,1
136,Distinction,94,3427,1
137,Fail,84,1149,0
138,Pass,59,1779,1
139,Withdrawn,55,141,0
140,Pass,65,340,0
141,Pass,71,347,0
142,Withdrawn,49,137,0
143,Withdrawn,46,12,0
144,Pass,53,8757,1
145,Fail,66,118,0
146,Fail,41,34,0
147,Pass,77,1829,1
148,Pass,52,528,0
149,Pass,77,434,0
150,Withdrawn,86,4998,0
151,Distinction,85,2268,0
152,Pass,85,1362,0
153,Fail,85,531,0
154,Withdrawn,77,6288,0
155,Distinction,88,568,0
156,Pass,81,5021,1
157,Fail,87,13,0
158,Fail,46,176,0
159,Pass,80,804,0
160,Pass,85,913,0
161,Pass,62,1179,0
162,Pass,71,1167,0
163,Withdrawn,93,670,1
164,Distinction,92,2750,1
165,Withdrawn,87,6101,0
166,Fail,50,405,0
167,Fail,37,349,0
168,Pass,71,1894,1
169,Fail,38,91,0
170,Fail,73,68,0
171,Pass,87,323,0
172,Pass,63,4938,1
173,Pass,88,1117,0
174,Withdrawn,82,2468,0
175,Pass,78,3158,1
176,Pass,75,3493,1
177,Pass,71,2861,1
178,Fail,0,60,0
179,Distinction,91,1957,1
180,Pass,82,1426,0
181,Withdrawn,87,583,0
182,Withdrawn,79,2910,0
183,Withdrawn,75,1624,0
184,Withdrawn,45,179,0
185,Withdrawn,72,701,0
186,Fail,74,604,0
187,Fail,46,498,0
188,Fail,53,604,0
189,Pass,72,283,0
190,Pass,71,1480,0
191,Withdrawn,78,275,0
192,Fail,74,1195,0
193,Fail,67,578,0
194,Distinction,87,5440,0
195,Fail,67,853,0
196,Pass,76,379,0
197,Fail,74,776,0
198,Pass,79,1425,0
199,Pass,54,283,0
200,Pass,70,1090,0
201,Pass,74,1319,0
202,Pass,92,3037,1
203,Pass,82,1972,1
204,Pass,76,3648,1
205,Fail,88,102,0
206,Pass,73,1295,0
207,Distinction,93,2481,1
208,Fail,41,834,0
209,Pass,68,1784,1
210,Pass,55,383,0
211,Pass,56,177,0
212,Pass,73,1732,1
213,Distinction,90,5248,0
214,Pass,79,1102,0
215,Pass,66,1425,0
216,Fail,53,522,0
217,Pass,64,2057,1
218,Withdrawn,40,441,0
219,Distinction,83,859,0
220,Pass,58,2750,1
221,Pass,74,764,0
222,Distinction,89,852,0
223,Pass,83,4983,1
224,Withdrawn,72,3198,0
225,Pass,86,4941,1
226,Pass,82,1365,0
227,Pass,68,4642,1
228,Withdrawn,56,506,0
229,Withdrawn,100,181,1
230,Fail,83,448,0
231,Pass,79,1889,1
232,Pass,76,3388,1
233,Fail,62,1037,0
234,Pass,72,683,0
235,Fail,80,525,0
236,Fail,86,274,0
237,Fail,75,694,0
238,Fail,64,231,0
239,Pass,71,3519,1
240,Pass,51,912,0
241,Pass,63,1210,0
242,Pass,79,3344,1
243,Pass,72,2737,1
244,Pass,63,712,0
245,Fail,62,1232,0
246,Distinction,84,771,0
247,Withdrawn,78,108,0
248,Pass,52,965,0
249,Pass,86,432,0
250,Pass,75,199,0
251,Fail,87,1239,0
252,Fail,64,4596,0
253,Distinction,88,5640,0
254,Pass,46,3327,1
255,Withdrawn,70,206,0
256,Pass,72,827,0
257,Withdrawn,67,176,0
258,Pass,76,1776,1
259,Withdrawn,43,52,0
260,Fail,72,2149,0
261,Pass,79,1161,0
262,Fail,83,143,0
263,Fail,68,681,0
264,Pass,77,1850,1
265,Withdrawn,66,329,0
266,Pass,77,354,0
267,Pass,67,1113,0
268,Fail,64,1246,0
269,Pass,66,1438,0
270,Pass,48,797,0
271,Withdrawn,81,2314,0
272,Distinction,75,1771,0
273,Pass,72,1351,0
274,Withdrawn,79,660,0
275,Withdrawn,81,360,0
276,Pass,88,4255,1
277,Fail,56,7467,0
278,Pass,70,1085,0
279,Pass,76,1270,0
280,Fail,57,98,0
281,Withdrawn,88,1458,0
282,Withdrawn,68,293,0
